PARTITION_KEY,BAN,CHG_SEQ_NO,ACTV_SEQ_NO,SYS_CREATION_DATE,SYS_UPDATE_DATE,OPERATOR_ID,APPLICATION_ID,DL_SERVICE_CODE,DL_UPDATE_STAMP,ACTV_CODE,ACTV_REASON_CODE,ACTV_DATE,ACTV_AMT,ACTV_BILL_SEQ_NO,CHG_CREATION_DATE,BALANCE_IMPACT_CODE,BEFORE_DISCNT_AMT,SOURCE_APPL_CODE,PRIOD_CVRG_ST_DATE,PRIOD_CVRG_ND_DATE,INV_SEQ_NO,SUBSCRIBER_NO,SUB_MARKET_CD,DEFAULT_RATE_IND,BL_IGNORE_IND,CHARGE_TYPE,FINANCE_EFF_DATE,CHARGE_HIST_IND,PRODUCT_TYPE,FEATURE_CODE,FTR_REVENUE_CODE,SOC,SOC_DATE,SERVICE_FTR_SEQ_NO,SERVICE_TYPE,SOC_SEQ_NO,SOC_VER_NO,FEDERAL_EXMP_SRC,ROAM_EXMP_SRC,STATE_EXMP_SRC,COUNTY_EXMP_SRC,CITY_EXMP_SRC,MIS1_EXMP_SRC,MIS2_EXMP_SRC,TAX_COMMISSION_IND,TAX_ADR_SOURCE_CD,TAX_MIS1_TXT_RSN_CD,TAX_MIS2_TXT_RSN_CD,TAX_ADDRESS_ID,TAX_PACKAGE_CODE,TAX_GEOCODE,ADR_INCORP_IND,AU_RATING_SCHEME_IND,AU_ISSUE_CODE,AU_SEQ_NO,SECONDARY_FEATURE_CD,ACTION_DIRECTION_CD,EXTENDED_HM_AREA_IND,RATE_GROUP,EFFECTIVE_DATE,DISCOUNT_AMT,DISCOUNT_PCT,QUANTITY,RC_FTR_PRE_PROR_AMT,LAST_RG_RC_DATE,ASGN_TO_BILL_APPL_CD,CHG_GROUP_LEVEL,CHG_GROUP_ID,TAX_FEDERAL_AMT,TAX_ROAMING_AMT,TAX_CITY_CUST_AMT,TAX_COUNTY_CUST_AMT,TAX_STATE_CUST_AMT,TAX_MIS1_CUST_AMT,TAX_MIS2_CUST_AMT,STATE_RATE,COUNTY_RATE,CITY_RATE,MIS1_RATE,MIS2_RATE,NO_OF_INSTALL_FROM,NO_OF_INSTALL_TO,TOTAL_NO_OF_INSTALL,TAX_CITY_AUTH_AMT,TAX_COUNTY_AUTH_AMT,TAX_STATE_AUTH_AMT,TAX_MIS1_AUTH_AMT,TAX_MIS2_AUTH_AMT,RMS_INV_STORE_ID,RMS_INV_ID,RMS_INV_LINE_SEQ,RMS_INV_SUBLN_SEQ,RMS_INV_ACTV_TYPE,DISCOUNT_CODE,BILL_COMMENT,CONV_RUN_NO,MANUAL_OVERRIDE_IND,MEMO_ID,FRWD_FM_BILL_SEQ_NO,INV_SETTELMENT_ID,COMMTAX_VERSION,COMMTAX_DATA_VERSION,SUBSCRIBER_GROUP,RC_ADV_ARREAR_CODE,BMG_TYPE,PRIM_RATE_IND,CING_NETWORK_IND,SERVICE_IND,SLB_SOURCE_BAN,POOL_ID,ENTITY_TYPE_CD,COPAY_ALLOWANCE_ID,ADJ_SEQ_NO,TAX_FEATURE_CD,VERTEX_BILLED_LINE,VERTEX_AUTH,VERTEX_TYPE,VERTEX_FEE_LEVEL,CLIN,SEGMENT_CD,LIABILITY_TYPE,ENTERPRISE_TYPE,XML_BUNDLE_IND,TITAN_IND,AR_BRKDWN_IND,EFAST_FRN,EFAST_ID,ACTV_TRN_ID,GGS_COMMIT_TS,GGS_OP_TYPE,GGS_SCN,GGS_TRANS_ID,GGS_LOG_SEQ,GGS_LOG_POS,GGS_ORACREC_SCN,BATCH_ID,GGS_IMAGE_TYPE, 
553,838889553,22337682750,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-MAR-15 07.11.15.048948000 AM,DELETE,14095000000000,574,199419,2171848120,14095000000000,20150308001,B, 
45,287245000000,22198857063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-MAR-15 07.32.44.039582000 AM,DELETE,14095000000000,740,199421,662585472,14095000000000,20150308001,B, 
938,287021000000,22352070996,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-MAR-15 08.13.58.040071000 AM,DELETE,14095000000000,551,199424,1072945344,14095000000000,20150308001,B, 
512,287016000000,22354551037,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-MAR-15 08.16.10.040400000 AM,DELETE,14095000000000,1082,199424,1258203296,14095000000000,20150308001,B, 
670,826952670,22367167267,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-MAR-15 09.01.35.039908000 AM,DELETE,14095000000000,408,199428,955028160,14095000000000,20150308001,B, 
916,830769916,22347178798,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-MAR-15 09.20.36.039542000 AM,DELETE,14095000000000,217,199430,2667008160,14095000000000,20150308001,B, 
386,821010386,22366154663,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-MAR-15 09.49.55.209380000 AM,DELETE,14095000000000,35,199432,3650347944,14095000000000,20150308001,B, 
747,287235000000,22356431059,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08-MAR-15 10.39.01.040576000 AM,DELETE,14095000000000,1110,199437,3566943416,14095000000000,20150308002,B, 
753,287247000000,23509521301,1,8-Mar-15,,,BLPREP,BL040,,CHG ,R     ,,5,34,8-Mar-15,B,5,B,7-Feb-15,6-Mar-15,,4159391262,SFR,Y,N,F,6-Mar-15,C,M,PTTDUM,R  ,EPTT05   ,16-Aug-14,14163163,R,5236366895,,N,,N,N,N,N,N,N,R,TAXMIS,TAXMIS,407977483,C,50810880,,N,,,,,,,,,,1,5,6-Mar-15,,,,0.27,,0.27,,0.21,,,3.7736,,5,,,,,,,,,,,,,,,,,,,,,,,04.00.00,390,,R,,Y,,N,,,,,,,,,,,,,,,,N,,,,,08-MAR-15 08.43.03.126417000 PM,INSERT,14095300000000,718,199449,3561283864,14095300000000,20150308003,A, 
745,874311745,23282894559,1,21-Feb-15,8-Mar-15,,BLPREP,BL123,5340,CHG ,PM    ,,40,72,21-Feb-15,B,40,C,20-Feb-15,20-Feb-15,,9197386163,711,Y,N,F,6-Mar-15,C,M,UPGD  ,R  ,UPG18    ,20-Feb-15,238793003,S,5391558788,,N,,N,N,N,N,N,N,R,TAXMIS,TAXMIS,408100224,C,341832765,,N,,,,,,,,,,1,40,20-Feb-15,B,,,,,,0.8,1.9,,,4.75,2,,,,,,,,,,,,,,,,,,,,,,,,04.00.00,389,,R,,Y,,,,,,,,,,,,,,,,,,N,,,,,08-MAR-15 09.49.12.042477000 PM,SQL COMPUPDATE,14095300000000,777,199451,889166464,14095300000000,20150308003,A, 
