FEATURE_CODE,SYS_CREATION_DATE,SYS_UPDATE_DATE,OPERATOR_ID,APPLICATION_ID,DL_SERVICE_CODE,DL_UPDATE_STAMP,FEATURE_GROUP,SWITCH_ACT_NEEDED,SWITCH_CODE,SWITCH_PARAM,USAGE_SCHEME_POSS,MPS_FEATURE_CODE,MPS_RATING_PRIORITY,LOCAL_SCOPE_IND,SERVICE_LEVEL,RATING_ROAMING_IND,PRORATION_IND,LSA_IND,FEATURE_DESC,REVENUE_CODE,FEE_WAIVE_CODE,FEE_WAIVE_METHOD,DEF_SW_PARAMS,CSM_PARAM_REQ_IND,FM_TYPE,DUP_FTR_ALLOW_IND,TAX_FEE_BILL_PRSNT_CD,FTR_SUB_GRP_TYPE,PRODUCT_TYPE,ONLINE_DISPLAY_IND,MSISDN_IND,TAX_FEE_BILL_PRSNT_TYPE,PRODUCT_SUB_TYPE,MOBILE_TECHNOLOGY,FM_PRIORITY,FEATURE_CATEGORY,FTR_ENBLR_TYPE,ENB_CHARGE_CODE,BL_DISPLAY,MLT_FTR_IND,FTR_VENDOR_GRP,VM_CATEGORY,EXCL_EXP_BL_DISP,FILTER_ATTRIBUTES,FTR_MED_DESC,APN_PRIORITY,PDP_ATTRIBUTES, 
E415  ,21-JUL-08,21-JUL-08,11111,RLEASE,DST  ,1111,SF,Y,ISP   ,APN=2444@,N,,,,C,N,1,N,CCS - Available for Sale                                                                            ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,,A016;,CCS - Available for Sale                                    ,,, 
BCA522,18-JUL-06,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=TWOMBTA@PROD_ID=4802@,N,,,,C,N,1,N,TWOMBTA                                                                                             ,,,,,N,,Y,, ,M,N,,,,M,,V ,,,C522,,,,,A016;,TWOMBTA                                                     ,,, 
EP31  ,29-MAR-04,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,PPS   ,COS=031@,Y,PPS   ,,,C,N,1,N,EPNW Class of Service                                                                               ,,,,,N,,N,, ,M,,,,  ,M,,V ,,,,,,,,A015;,EPNW Class of Service                                       ,,, 
A699  ,21-JUL-08,21-JUL-08,11111,RLEASE,DST  ,1111,SF,Y,ISP   ,APN=2148@,N,,,,C,N,1,N,CCS - Available for Sale                                                                            ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,,A016;,CCS - Available for Sale                                    ,,, 
BCA712,18-JUL-06,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=SENSORMATIC@PROD_ID=4801@,N,,,,C,N,1,N,SENSORMATIC                                                                                         ,,,,,N,,Y,, ,M,N,,,,M,,V ,,,C712,,,,,A016;,SENSORMATIC                                                 ,,, 
ATNE  ,01-JAN-80,,,,PP006,,SF,N,,,N,,,,C,N,2,N,AIRTIME TE                                                                                          ,,,,,N,,Y,, ,M,,,,  ,G,,D ,,,ATNE,N,,,Y,A086;,AIRTIME TE,,, 
VAHOPE,15-JAN-07,15-JAN-07,11111,RLEASE,DST  ,1111,TF,N,,,N,,,,,,,,CITY OF HOPEWELL UTILITY TAX                                                                        ,O  ,T,N,,,,,TX,,M,,,,,M,,,,,,,,,,,CITY OF HOPEWELL UTILITY TAX                                ,,, 
I636  ,30-AUG-07,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,ISP   ,APN=goldccs01@,N,,,,C,N,1,N,CCS - goldccs01                                                                                     ,,,,,N,,N,, ,M,,,,GG,M,,D ,,,,N,,,,A016;,CCS - goldccs01                                             ,,, 
RWDY  ,02-OCT-07,18-APR-08,11111,RLEASE,MATTG,1111,SF,Y,3PP   ,APP_ID=9006@,N,,,,C,N,1,N,Rowdy Racing                                                                                        ,,,,,N,,N,, ,M,,,,  ,M,,V ,,,RWDY,N,,,,A070;,Rowdy Racing                                                ,,, 
OH2012,12-JUN-12,12-JUL-12,,,SP050,,SF,Y,3PP   ,APP_ID=0896@,Y,OHI2  ,99,,C,N,3,N,OH2012                                                                                              ,,,,,N,,N,, ,M,,,,  ,G,,D ,,,2012,N,,,Y,A070;,OH2012,,, 
