SOC,EFFECTIVE_DATE,SYS_CREATION_DATE,SYS_UPDATE_DATE,OPERATOR_ID,APPLICATION_ID,DL_SERVICE_CODE,DL_UPDATE_STAMP,SPECIAL_DAYS_SET_CODE,PRODUCT_TYPE,SOC_STATUS,SALE_EFF_DATE,SALE_EXP_DATE,SOC_DESCRIPTION,SERVICE_TYPE,SOC_LEVEL_CODE,CUSTOMER_TYPE,FOR_SALE_IND,INTERNAL_TYPE,PP_REPLACEMENT,REPLACED_PP,MAX_ALLOWED_CTNS,MIN_REQ_CTNS,MINIMUM_NO_MONTHS,MIN_REQ_USG_CHRG,ET_MAX_PEN_RATE,ET_MIN_PEN_RATE,PP_MIN_MOU_PRD_IND,MIN_REQ_USG_LEVEL,ICC_CHARGE_IND,DLR_COMMISSION_IND,DLR_RESIDUAL_IND,EXPIRATION_DATE,BILL_PRESENT_IND,COVERAGE_TYPE,AREA_CODE,EHA_FEE_IND,ROAM_ADMIN_FEE_IND,RERATE_SCHG_IND,ESTBL_CHARGE_IND,CUSTOMER_SUBTYPE,SOC_QTY_IND,RELATED_EQUIPMENT,ELA_FEE_IND,WELCOME_MESSAGE_TYPE,PRODUCT_SUB_TYPE,ROLLOVER_TYPE_IND,SOC_MODE,SL_MAX_AMOUNT,SL_MIN_AMOUNT,SL_DEPOSIT_AMT,MOBILE_TECHNOLOGY,MAX_MEMBERS,IRDB_TYPES,ILD_ELIG_IND,BEYOND_VOICE_IND,GEN_ATTRIBUTE,PP_CATEGORY,OFFER_ID,OFFER_DESC,CSE_IND,OFFER_MGR,SOC_NETWORK,DATA_ONLY_IND,RIM_SERVICE_NAME,SERVICE_CATEGORY,PPU_IND,CONTRACT_GRP_CD,UMTS_COMPATIBILITY,POOLING_PROFILE,POOLING_TYPE,SOC_MAGIC_TYPE,RETIRING_GRP_PP_ID,TIME_PERIOD_SOC,PUB_TO_ATLAS_IND,INSR_SOC_TYPE,RSTR_PP_IND,CNTR_TYPE,FILTER_ATTRIBUTES,INCL_MINS,THREEG_REQ_IND,M2AN_MAX_LINE_NO,MRC_PRICE_POINT,LTE_IND,SOC_MED_DESC,SOC_LONG_DESC,ALLOWANCE,UOM,PRORATION_IND,INTL_ROAM_ALLOWANCE,INTL_ROAM_PRORATION_IND,INTL_ROAM_UOM,ATL_ATTR_NAME,EXCLUDED_IMEI_TYPES,TITAN_OFFER_ID,SUBSCRIPTION_CLASS,TITAN_ELIG_IND,DATA_GROUP_IND,NATIONAL_IND,SOC_DURATION,AMSPRODUCT,SUBCLASS_ID, 
BTCIA12E ,02-JAN-80,09-SEP-05,08-JUL-14,754883,TDMA1 ,T1406,,,M,A,11-NOV-00,,EXTENDED HOME AREA,O,C,,Y,,,,,,,,,,,,N,Y,Y,,,S,,N,N,,N,,,D,N,,,N,,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,V2,,,N,,,,,,,,,,A012;NOBUTTONS;,,,,,,EXTENDED HOME AREA,,,,,,,,,,,,,,,,,, 
BTHMFTGB7,02-JAN-80,28-OCT-05,08-JUL-14,754992,TDMA1 ,T1406,,    ,M,A,11-NOV-00,,LOCAL LD,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,C,,N,N,,N,,,D,N,,  ,N,,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,,,,B,,,,,,,,,,A022;NOBUTTONS;,,,,,,LOCAL LD,,,,,,,,,,,,,,,,,, 
BTDSAT2A ,02-JAN-80,28-JUL-05,08-JUL-14,754992,T1206 ,T1406,,BMC2,M,A,11-NOV-00,10-FEB-06,ADVANTAGE 50,P,C, ,N,,,,,0,12,0,0,0,N,,N,Y,Y,,,H,,N,N,,N,,,D,N,N,,,,,,,M,,99,Y,,,AAA,,,,,B,N,,V1,,STD,,,,,,,,,,,VOICE_PP;BUSINESS;,45,,,,,ADVANTAGE 50,,,,,,,,,,,,,,,,,, 
JUSU24ELA,02-JAN-80,24-JUN-05,08-JUL-14,754917,NBI2  ,T1406,1111,    ,M,A,11-NOV-00,,/KY ROAM,O,C, ,Y,,,,,,,,,,,,N,N,N,,,S,,N,N,S,N,,,D,N,,  ,N,,,,,M,,,Y,V,RESSOCREM;,,,,,,B,,,NC,,BLU,,,,,,,,,,,A023;NOBUTTONS;,,,,,,/KY ROAM,,,,,,,,,,,,,,,,,, 
BTHMFT1ST,02-JAN-80,28-OCT-05,08-JUL-14,754992,TDMA1 ,T1406,,    ,M,A,11-NOV-00,,LOCAL LD,O,C, ,Y,,,,,,,,,,,,N,Y,Y,,,C,,N,N,,N,,,D,N,,  ,N,,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,,,,B,,,,,,,,,,A022;NOBUTTONS;,,,,,,LOCAL LD,,,,,,,,,,,,,,,,,, 
BTRN00060,02-JAN-80,29-JUN-06,08-JUL-14,754883,TDMA1 ,T1406,,,M,A,11-NOV-00,,Roam Rate $0.60,O,C,,Y,,,,,,,,,,,,N,N,N,,,R,,N,N,N,N,,,D,N,,,N,,,,,M,,99,Y,V,RESSOCREM;,,,,,,B,,,NC,,,N,,,N,,,,,,,A023;NOBUTTONS;,,,,,,Roam Rate $0.60,,,,,,,,,,,,,,,,,, 
I724     ,02-JAN-80,09-NOV-04,04-NOV-14,5947,T1206 ,T1410,,    ,M,A,28-NOV-06,,CCS - ccspbsb041,R,C, ,Y,,,,,,,,,,,,N,N,N,,,G,,,,,N,,,D,,,GG,N,,,,,M,,,Y,B,,,,,,,T,,,NC,,,B,,,,,,,,,,A016;,,,,,,CCS - ccspbsb041,,,,,,,,,Z2@Z6@Z9@Z1,14213179,,Y,,,,,, 
C7P974464,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS 500,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS 500,,,,,,,,,,,,,,,,,, 
19RM     ,02-JAN-80,27-JAN-06,08-JUL-14,754883,CSM   ,T1406,,    ,M,A,11-NOV-00,,$0.19 IN ROAMING,O,C, ,Y,,,,,,,,,,,,N,N,N,,,R,,N,N,N,N,,,D,N,,  ,N,,,,,M,,,Y,V,RESSOCREM;,,,,,,O,,,V2,,,B,,,,,,,,,,A023;NOBUTTONS;,,,,,,$0.19 IN ROAMING,,,,,,,,,,913118129,,Y,,,,,, 
C17878080,02-JAN-80,24-APR-07,08-JUL-14,11111,T1206 ,T1406,,    ,M,A,11-NOV-00,10-JUN-06,NIGHTS & WEEKENDS UNL,R,C, ,N,,,,,,,,,,,,N,Y,Y,,,H,,N,N,,N,,,D,N,,,N,,,,,M,,,Y,V,ELIG_TYPE;,,,,,,T,,,V2,,,B,,,,,,,,,,A054;,,,,,,NIGHTS & WEEKENDS UNL,,,,,,,,,,,,,,,,,, 
